sci,en,class_,order_,family,wiki,source
Amphiprion ocellaris,clownfish,Actinopterygii,Perciformes,Pomacentridae,Ocellaris_clownfish,existing
Astatotilapia burtoni,Burton's mouthbrooder,Actinopterygii,Cichliformes,Cichlidae,Astatotilapia_burtoni,existing
Carassius auratus,goldfish,Actinopterygii,Cypriniformes,Cyprinidae,Goldfish,existing
Danio rerio,zebrafish,Actinopterygii,Cypriniformes,Danionidae,Zebrafish,existing
Gadus morhua,atlantic cod,Actinopterygii,Gadiformes,Gadidae,Atlantic_cod,existing
Hippocampus reidi,longsnout seahorse,Actinopterygii,Syngnathiformes,Syngnathidae,Longsnout_seahorse,existing
Lutjanus campechanus,red snapper,Actinopterygii,Perciformes,Lutjanidae,Northern_red_snapper,existing
Oreochromis niloticus,nile tilapia,Actinopterygii,Perciformes,Cichlidae,Nile_tilapia,existing
Pollachius virens,saithe,Actinopterygii,Gadiformes,Gadidae,Pollock_(fish),existing
Porichthys notatus,midshipman fish,Actinopterygii,Batrachoidiformes,Batrachoididae,Plainfin_midshipman_fish,existing
Sebastes mystinus,blue rockfish,Actinopterygii,Scorpaeniformes,Sebastidae,Blue_rockfish,existing
Allobates femoralis,brilliant-thighed poison frog,Amphibia,Anura,Aromobatidae,Allobates_femoralis,existing
Bombina bombina,european fire-bellied toad,Amphibia,Anura,Bombinatoridae,Bombina_bombina,existing
Bombina variegata,yellow-bellied toad,Amphibia,Anura,Bombinatoridae,Yellow-bellied_toad,existing
Bufo bufo,common toad,Amphibia,Anura,Bufonidae,Common_toad,existing
Dendrobates auratus,green poison dart frog,Amphibia,Anura,Dendrobatidae,Green_and_black_poison_dart_frog,existing
Dendropsophus ebraccatus,hourglass treefrog,Amphibia,Anura,Hylidae,Dendropsophus_ebraccatus,existing
Eleutherodactylus coqui,coqui frog,Amphibia,Anura,Eleutherodactylidae,Common_coquí,existing
Engystomops pustulosus,túngara frog,Amphibia,Anura,Leptodactylidae,Túngara_frog,existing
Hyla arborea,european treefrog,Amphibia,Anura,Hylidae,European_tree_frog,existing
Hyla chrysoscelis,gray treefrog,Amphibia,Anura,Hylidae,Cope's_gray_treefrog,existing
Hyperolius marmoratus,painted reed frog,Amphibia,Anura,Hyperoliidae,Hyperolius_marmoratus,existing
Lithobates catesbeianus,american bullfrog,Amphibia,Anura,Ranidae,American_bullfrog,existing
