scientific_name,common_name_en,common_name_it,common_name_es,common_name_fr,common_name_de,wiki_title,xeno_canto_query,audio_provider,paper_ids,vocalisations,contexts,functions,open_papers
Taeniopygia guttata,zebra finch,diamante mandarino,diamante cebra,diamant mandarin,zebrafinke,Zebra_finch,Taeniopygia guttata,xeno_canto,paper_003,"song|subsong|plastic song","vocal learning|courtship","mate attraction|social learning","10.1371/journal.pbio.1001473|10.1126/science.1185338"
Gallus gallus domesticus,domestic chick,pulcino,pollito,poussin,küken,Gallus_gallus_domesticus,Gallus gallus,xeno_canto,"paper_001|paper_008",call,"early social communication|parent-offspring interaction","social signalling|maternal recognition","10.1098/rspb.2014.0838"
Aegithalos caudatus,long-tailed tit,codibugnolo,mito europeo,mésange à longue queue,schwanzmeise,Long-tailed_tit,Aegithalos caudatus,xeno_canto,paper_007,contact call,"group cohesion|foraging","group coordination|individual recognition","10.1098/rspb.2023.0042"
Parus minor,japanese tit,cincia giapponese,carbonero japonés,mésange du japon,japanmeise,Japanese_tit,Parus minor,xeno_canto,paper_009,"call|alarm call","predator response|group coordination","composite signal|alarm and recruitment","10.1038/nature16537"
Parus major,great tit,cinciallegra,carbonero común,mésange charbonnière,kohlmeise,Great_tit,Parus major,xeno_canto,,"song|call|alarm call","territorial defence|mate attraction|predator response","territory signalling|mate attraction|predator warning","10.1016/j.cub.2021.11.056"
Corvus corax,common raven,corvo imperiale,cuervo común,grand corbeau,kolkrabe,Common_raven,Corvus corax,xeno_canto,,"call|alarm call","social communication|foraging|predator response","individual recognition|social coordination|predator warning","10.1038/s41598-020-67872-1"
Serinus canaria,domestic canary,canarino domestico,canario,canari domestique,kanarienvogel,Domestic_canary,Serinus canaria,xeno_canto,,song,"courtship|vocal learning","mate attraction|social learning","10.1523/JNEUROSCI.2973-20.2021"
Melopsittacus undulatus,budgerigar,cocorita,periquito,perruche ondulée,wellensittich,Budgerigar,Melopsittacus undulatus,xeno_canto,,"contact call|song","social communication|vocal learning","individual recognition|social affiliation","10.1371/journal.pone.0049770"
Sturnus vulgaris,european starling,storno,estornino pinto,étourneau sansonnet,star,Common_starling,Sturnus vulgaris,xeno_canto,,"song|call","murmuration|courtship|territory","collective coordination|mate attraction|individual recognition","10.1073/pnas.1911115116"
Bubo bubo,eurasian eagle-owl,gufo reale,búho real,grand-duc d'europe,uhu,Eurasian_eagle-owl,Bubo bubo,xeno_canto,,hooting,"territorial defence|mate attraction","territory signalling|pair bonding","10.1093/beheco/arx107"
Tyto alba,barn owl,barbagianni,lechuza común,effraie des clochers,schleiereule,Barn_owl,Tyto alba,xeno_canto,,screech,"territorial defence|contact","territory signalling|pair bond maintenance","10.1098/rspb.2020.0498"
Coturnix japonica,japanese quail,quaglia giapponese,codorniz japonesa,caille du japon,japanische wachtel,Japanese_quail,Coturnix japonica,xeno_canto,,"call|contact call","mate attraction|early social communication","species recognition|mate attraction","10.1016/j.anbehav.2020.05.014"
Felis catus,domestic cat,gatto domestico,gato doméstico,chat domestique,hauskatze,Cat,,freesound,,"meow|purr|trill|chirp|hiss","solicitation|contact|alarm|play|hunting","attention solicitation|contact maintenance|predator response","10.1073/pnas.0905043106|10.1016/j.applanim.2020.105048"
Canis lupus familiaris,domestic dog,cane domestico,perro doméstico,chien domestique,haushund,Dog,,freesound,,"bark|growl|whine|howl","alarm|play|submission|contact","alert signalling|social play|submission|contact maintenance","10.1016/j.anbehav.2005.05.010|10.1038/s41598-020-60478-7"
Equus caballus,domestic horse,cavallo domestico,caballo doméstico,cheval domestique,pferd,Horse,,freesound,,"neigh|nicker|snort|squeal","contact|alarm|threat|play","contact maintenance|predator alarm|threat display|social play","10.1016/j.applanim.2020.104945"
Sus scrofa domesticus,domestic pig,maiale domestico,cerdo doméstico,cochon domestique,hausschwein,Domestic_pig,,freesound,,"grunt|squeal|bark","social communication|alarm|play|feeding","individual recognition|alarm|social coordination","10.1093/beheco/arq051"
Bos taurus,domestic cattle,mucca domestica,vaca doméstica,vache domestique,hausrind,Cattle,,freesound,,"moo|bellow|rumble","contact|alarm|mother-calf","contact maintenance|separation distress|individual recognition","10.1371/journal.pone.0215999"
Tursiops truncatus,bottlenose dolphin,delfino tursiope,delfín mular,grand dauphin,großer tümmler,Common_bottlenose_dolphin,,macaulay,paper_004,"signature whistle|whistle|click","individual recognition|group cohesion|echolocation","individual identity|social affiliation|prey detection","10.1098/rspb.2006.3517|10.1038/nature04828"
Megaptera novaeangliae,humpback whale,megattera,ballena jorobada,baleine à bosse,buckelwal,Humpback_whale,,macaulay,paper_006,song,"courtship|long-distance communication","mate attraction|male competition","10.1126/science.173.3993.585|10.1016/j.cub.2018.04.005"
Physeter macrocephalus,sperm whale,capodoglio,cachalote,cachalot,pottwal,Sperm_whale,,macaulay,,"click|coda","echolocation|social communication|group identity","prey detection|individual recognition|cultural identity","10.1038/s41559-021-01680-2"
Mus musculus,house mouse,topo domestico,ratón doméstico,souris domestique,hausmaus,House_mouse,,freesound,paper_005,ultrasonic vocalisation,"isolation|parent-offspring interaction|courtship","maternal retrieval|distress signalling|mate attraction","10.1371/journal.pbio.1001893"
Chlorocebus pygerythrus,vervet monkey,cercopiteco verde,mono verde,vervet,grüne meerkatze,Vervet_monkey,,macaulay,paper_002,alarm call,predator response,"predator warning|information transfer","10.1126/science.7110098"
Callithrix jacchus,common marmoset,uistitì comune,tití común,ouistiti commun,weißbüscheläffchen,Common_marmoset,,macaulay,,"contact call|phee call|twitter","social communication|parent-offspring interaction","contact maintenance|individual recognition|group cohesion","10.1073/pnas.1810855115"
Pan troglodytes,chimpanzee,scimpanzé,chimpancé,chimpanzé,schimpanse,Chimpanzee,,macaulay,,"pant-hoot|grunt|scream","social dominance|foraging|predator response","long-distance communication|individual recognition|social coordination","10.1098/rspb.2019.2228"
Eptesicus fuscus,big brown bat,pipistrello bruno maggiore,murciélago café grande,grande sérotine brune,großer brauner fledermaus,Big_brown_bat,,macaulay,paper_010,echolocation call,"foraging|navigation","spatial orientation|prey detection","10.1242/jeb.189381"
Elephas maximus,asian elephant,elefante asiatico,elefante asiático,éléphant d'asie,asiatischer elefant,Asian_elephant,,macaulay,,"rumble|trumpet|roar","long-distance communication|social bonding|alarm","group coordination|contact maintenance|predator warning","10.1371/journal.pone.0249120"
Engystomops pustulosus,túngara frog,rana túngara,rana túngara,grenouille túngara,túngara-frosch,Túngara_frog,Engystomops pustulosus,xeno_canto,,"advertisement call|chuck","mate attraction|sexual selection","mate attraction|species recognition|female choice","10.1126/science.185.4149.372"
Rana temporaria,common frog,rana comune,rana común,grenouille rousse,grasfrosch,Common_frog,Rana temporaria,xeno_canto,,advertisement call,"mate attraction|chorus","mate attraction|species recognition","10.1371/journal.pone.0272006"
Drosophila melanogaster,fruit fly,mosca della frutta,mosca de la fruta,mouche du vinaigre,taufliege,Drosophila_melanogaster,,external_links,,"courtship song|pulse song|sine song","courtship|species recognition","mate attraction|species isolation|female receptivity","10.1016/j.cub.2013.04.072"
